label count
1675037247761 72
154618822862 71
1451698947179 71
618475291157 71
128849021670 71
790273983890 71
1125281433604 71
1279900254723 71
558345748953 70
1408749273125 70
163208759011 70
1254130452389 70
25769805176 70
790273984057 70
1159641170989 70
103079216793 69
1692217114686 69
1108101564105 69
1503238555500 69
1030792151837 69
987842478884 69
627065227565 69
128849021174 69
472446402869 69
1640677508466 69
300647710935 69
1494648619139 69
627065226575 69
1589137901805 69
549755816504 69
910533068335 69
214748366693 69
25769804249 69
154618823329 68
1597727835679 68
747324310690 68
1211180779085 68
1391569405459 68
936302871897 68
755914244240 68
910533068935 68
455266534871 68
481036338971 68
455266534641 68
249108104348 67
163208757629 67
1460288881161 67
352187318669 67
274877908626 67
2436 67
816043788570 67
25769805941 67
429496730445 66
1683627182689 66
1245540516998 66
687194767520 66
1065151891670 66
1142461303593 66
438086664986 66
1468878815871 66
558345749753 66
231928235557 66
1314259993219 66
1202590844180 65
1391569405069 65
1142461303293 65
1039382087661 65
369367188949 65
206158432707 65
1503238556105 65
1400159340053 65
274877909207 65
1030792153071 65
146028890225 65
180388627633 65
1133871366646 65
1649267442189 65
850403525187 65
1288490191231 65
171798692297 65
712964571363 64
678604834942 64
68719478829 64
1511828488485 64
1322849928140 64
420906797132 64
335007450194 64
403726927111 64
1460288882916 64
1425929142537 64
403726925883 64
420906797378 64
25769804419 64
274877908044 63
1211180779578 63
163208759954 63
249108103511 63
1090921694103 63
1142461300839 63
1589137900986 63
977 63
1623497638483 63
506806141095 63
1571958031552 63
1305670058109 63
498216208724 63
1554778163179 63
266287973487 62
137438953906 62
1571958030656 62
1090921695015 62
223338299969 62
1546188228442 62
979252544989 62
549755815422 62
1451698947820 62
962072675228 62
1168 62
317827581852 62
841813591317 62
678604834257 62
120259085152 61
1236950583977 61
1202590843409 61
541165879819 61
403726927235 61
987842479016 61
618475291628 61
884763264953 61
386547057151 61
566935685019 61
1580547967463 61
1357209666779 61
712964571827 61
180388628681 60
214748367636 60
103079215229 60
171798692343 60
1571958032669 60
712964572122 60
1580547967552 60
790273983181 60
1297080124678 60
1279900255151 60
1443109013944 60
335007450573 60
8589936954 60
1623497639157 60
154618824883 60
609885356151 59
712964571742 59
249108104891 59
180388628484 59
644245094479 59
1657857377270 59
1666447311533 59
1700807051845 59
34359738498 59
833223657225 59
970662609337 59
438086664931 59
1580547966759 59
1683627181671 58
377957124303 58
1554778161731 58
807453853355 58
206158431757 58
42949674583 58
1082331759538 58
755914246215 58
1305670058152 58
8589936789 58
1529008358756 58
618475291966 58
816043786536 58
1151051237217 58
472446404972 57
